"Algolia Search Products", "Algolia Search Products"
"Rebuild products.", "Rebuild products."
"Algolia Search Categories", "Algolia Search Categories"
"Rebuild categories.", "Rebuild categories."
"Algolia Search Pages", "Algolia Search Pages"
"Rebuild pages.", "Rebuild pages."
"Algolia Search Suggestions", "Algolia Search Suggestions"
"Rebuild suggestions.", "Rebuild suggestions."
"Rebuild additional sections.", "Rebuild additional sections."
"Please enable the queueing system to do it asynchronously (CRON) if you have a lot of products in System > Configuration > Algolia Search > Queue configuration", "Please enable the queueing system to do it asynchronously (CRON) if you have a lot of products in System > Configuration > Algolia Search > Queue configuration"
"Algolia Search Queue Runner", "Algolia Search Queue Runner"
"Process the queue if enabled. This allow to run jobs in the queue", "Process the queue if enabled. This allow to run jobs in the queue"
"Section", "Section"
"Label", "Label"
"Hits per page", "Hits per page"
"Add Section", "Add Section"
"Attribute", "Attribute"
"Searchable", "Searchable"
"Retrievable", "Retrievable"
"Ordered", "Ordered"
"Add Attribute", "Add Attribute"
"Asc / Desc", "Asc / Desc"
"Add Ranking Criterion", "Add Ranking Criterion"
"Facet type", "Facet type"
"Add Facet", "Add Facet"
"Sort", "Sort"
"Add Sorting Attribute", "Add Sorting Attribute"
"Pages", "Pages"
"Add Excluded Page", "Add Excluded Page"
"Search by", "Search by"
"Search for products, categories, ...", "Search for products, categories, ..."
"Search:", "Search:"
"in", "in"
"Categories", "Categories"
"Products", "Products"
"Refine", "Refine"
"Current search", "Current search"
"Search for products", "Search for products"
"SORT BY", "SORT BY"
"Add to Cart", "Add to Cart"
"result found", "result found"
"results found", "results found"
"out of", "out of"
"seconds", "seconds"
"Relevance", "Relevance"
"No products for query", "No products for query"
"You can try one of the popular search queries", "You can try one of the popular search queries"
"or", "or"
"See all products", "See all products"
"Selected Filters", "Selected Filters"
"Clear all", "Clear all"
"Previous page", "Previous page"
"Next page", "Next page"
"to", "to"
"Go", "Go"
"No results", "No results"
"All departments", "All departments"
"See products in", "See products in"
"or in", "or in"
"Base Image", "Base Image"
"Small Image", "Small Image"
"Thumbnail", "Thumbnail"
"None", "None"
"AllOptional", "AllOptional"
"LastWords", "LastWords"
"FirstWords", "FirstWords"
"Synonyms (comma-separated)", "Synonyms (comma-separated)"
"Add Synonyms", "Add Synonyms"
"Add One-way Synonyms", "Add One-way Synonyms"
"Input", "Input"
"Synonyms", "Synonyms"
"One-way Synonyms", "One-way Synonyms"
"Synonyms File", "Synonyms File"
