"or","oder"
"Search","Suchen"
"Search for","Suche nach"
"Search:","Suchen:"
"in","in"
"Search :","Suchen :"
"Search for products","Suche nach Produkten"
"Refine","Anpassen"
"result","Ergebnis"
"s","se"
"found","gefunden"
"matching","für"
"Sort By","Sortiert nach"
"Relevance","Relevanz"
"Add to Cart","In den Warenkorb"
"No results found matching","Keine Ergebnisse gefunden für"
"Clear query and filters","Suche zurückstetzen"
"Products","Produkte"
"Categories","Kategorien"
"Pages","Seiten"
"Suggestions","Vorschläge"
"Sunday","Sonntag"
"Monday","Montag"
"Tuesday","Dienstag"
"Wednesday","Mittwoch"
"Thursday","Donnerstag"
"Friday","Freitag"
"Saturday","Samstag"
"January","Januar"
"February","Februar"
"March","März"
"April","April"
"May","Mai"
"June","Juni"
"July","Juli"
"August","August"
"September","September"
"October","Oktober"
"November","November"
"December","Dezember"
"st","."
"nd","."
"rd","."
"th","te"
"All departments","Alle Abteilungen"
